db_name,db_path, num_nodes, num_edges, t_e_read, t_e_insert, t_n_read, t_n_insert
s10_e8,/ssd_graph/s10_e8,s10_e8,727,8192,85766,22671,1111,1389
s10_e8,/ssd_graph/s10_e8,s10_e8,727,8192,82257,16720,941,2689
s10_e8,/ssd_graph/s10_e8,s10_e8,727,8192,82138,19059,1094,23578
s10_e8,/ssd_graph/s10_e8,s10_e8,727,8192,82837,18571,1023,25369
s10_e8,/ssd_graph/s10_e8,s10_e8,727,8192,78154,20788,882,1957
s10_e8,/ssd_graph/s10_e8,s10_e8,727,8192,82500,23471,1002,1183
s11_e8,/ssd_graph/s11_e8,s11_e8,1390,16384,157738,38549,1771,3331
s11_e8,/ssd_graph/s11_e8,s11_e8,1390,16384,152628,37942,1680,3676
s11_e8,/ssd_graph/s11_e8,s11_e8,1390,16384,154810,32500,1821,40029
s11_e8,/ssd_graph/s11_e8,s11_e8,1390,16384,168620,29062,1836,42854
s11_e8,/ssd_graph/s11_e8,s11_e8,1390,16384,153937,35921,1593,3854
s11_e8,/ssd_graph/s11_e8,s11_e8,1390,16384,145570,34444,1482,2243
s12_e8,/ssd_graph/s12_e8,s12_e8,2702,32768,308576,107263,3304,6243
s12_e8,/ssd_graph/s12_e8,s12_e8,2702,32768,303194,85426,3480,6223
s12_e8,/ssd_graph/s12_e8,s12_e8,2702,32768,334880,56298,3500,81062
s12_e8,/ssd_graph/s12_e8,s12_e8,2702,32768,301481,81812,3266,79245
s12_e8,/ssd_graph/s12_e8,s12_e8,2702,32768,306858,78475,3207,7300
s12_e8,/ssd_graph/s12_e8,s12_e8,2702,32768,306962,81874,3196,4846
s13_e8,/ssd_graph/s13_e8,s13_e8,5146,65536,612389,178403,6122,10969
s13_e8,/ssd_graph/s13_e8,s13_e8,5146,65536,625714,168490,6196,11907
s13_e8,/ssd_graph/s13_e8,s13_e8,5146,65536,620855,155413,7978,151159
s13_e8,/ssd_graph/s13_e8,s13_e8,5146,65536,612687,291080,7647,142995
s13_e8,/ssd_graph/s13_e8,s13_e8,5146,65536,625303,137566,6364,14071
s13_e8,/ssd_graph/s13_e8,s13_e8,5146,65536,648345,158160,8839,11538
s14_e8,/ssd_graph/s14_e8,s14_e8,9798,131072,1226064,288162,13071,25872
s14_e8,/ssd_graph/s14_e8,s14_e8,9798,131072,1205737,299139,11574,20966
s14_e8,/ssd_graph/s14_e8,s14_e8,9798,131072,1223122,291664,13376,308286
s14_e8,/ssd_graph/s14_e8,s14_e8,9798,131072,1214480,300424,12550,293110
s14_e8,/ssd_graph/s14_e8,s14_e8,9798,131072,1231385,458148,11783,27034
s14_e8,/ssd_graph/s14_e8,s14_e8,9798,131072,1220990,283911,11497,17486
s15_e8,/ssd_graph/s15_e8,s15_e8,18704,262144,2430428,641680,23577,43593
s15_e8,/ssd_graph/s15_e8,s15_e8,18704,262144,2389168,533637,26209,49032
s15_e8,/ssd_graph/s15_e8,s15_e8,18704,262144,2334982,559054,22912,596742
s15_e8,/ssd_graph/s15_e8,s15_e8,18704,262144,2389529,525341,22914,1633986
s15_e8,/ssd_graph/s15_e8,s15_e8,18704,262144,2397056,1947272,23692,67803
s15_e8,/ssd_graph/s15_e8,s15_e8,18704,262144,2487937,550466,25516,38447
s16_e8,/ssd_graph/s16_e8,s16_e8,36061,524288,4790916,7429769,40794,118677
s16_e8,/ssd_graph/s16_e8,s16_e8,36061,524288,4815148,4180605,44795,191120
s16_e8,/ssd_graph/s16_e8,s16_e8,36061,524288,4791892,2961235,40197,1293531
s16_e8,/ssd_graph/s16_e8,s16_e8,36061,524288,4790614,3053758,40699,1982715
s16_e8,/ssd_graph/s16_e8,s16_e8,36061,524288,4790674,2235763,42620,94849
s16_e8,/ssd_graph/s16_e8,s16_e8,36061,524288,4855252,1997357,44645,69865
s17_e8,/ssd_graph/s17_e8,s17_e8,68792,1048576,9555925,14292055,91665,205421
s17_e8,/ssd_graph/s17_e8,s17_e8,68792,1048576,9422269,10058369,154151,396884
s17_e8,/ssd_graph/s17_e8,s17_e8,68792,1048576,9615202,7030399,89938,2728558
s17_e8,/ssd_graph/s17_e8,s17_e8,68792,1048576,9414796,18056475,86654,2590564
s17_e8,/ssd_graph/s17_e8,s17_e8,68792,1048576,9079241,5406967,84731,234741
s17_e8,/ssd_graph/s17_e8,s17_e8,68792,1048576,9594673,13016573,100744,145221
s18_e8,/ssd_graph/s18_e8,s18_e8,131679,2097152,18550238,6239737,167631,363425
s18_e8,/ssd_graph/s18_e8,s18_e8,131679,2097152,18362146,16919581,185116,509917
s18_e8,/ssd_graph/s18_e8,s18_e8,131679,2097152,18809366,6140603,176564,7672351
s18_e8,/ssd_graph/s18_e8,s18_e8,131679,2097152,18834633,6045929,168868,9813035
s18_e8,/ssd_graph/s18_e8,s18_e8,131679,2097152,18942514,8611177,181591,422485
s18_e8,/ssd_graph/s18_e8,s18_e8,131679,2097152,18945499,9253728,184322,2371019
s19_e8,/ssd_graph/s19_e8,s19_e8,252258,4194304,37789739,33992264,368116,6704179
s19_e8,/ssd_graph/s19_e8,s19_e8,252258,4194304,37757385,31112358,354906,781430
s19_e8,/ssd_graph/s19_e8,s19_e8,252258,4194304,35107549,27400036,338537,12913285
s19_e8,/ssd_graph/s19_e8,s19_e8,252258,4194304,37949906,49166924,378922,16633231
s19_e8,/ssd_graph/s19_e8,s19_e8,252258,4194304,43027177,31245855,464735,987828
s19_e8,/ssd_graph/s19_e8,s19_e8,252258,4194304,38974395,66183381,378410,3442915
s20_e8,/ssd_graph/s20_e8,s20_e8,484085,8388608,78246370,108584957,774205,2185202
s20_e8,/ssd_graph/s20_e8,s20_e8,484085,8388608,73124869,103536655,829903,1853132
s20_e8,/ssd_graph/s20_e8,s20_e8,484085,8388608,74325104,93258897,780009,37677985
s20_e8,/ssd_graph/s20_e8,s20_e8,484085,8388608,77837370,109831676,716006,40105831
s20_e8,/ssd_graph/s20_e8,s20_e8,484085,8388608,77616116,91569670,751487,4684124
s20_e8,/ssd_graph/s20_e8,s20_e8,484085,8388608,77447412,78036779,784643,3866138
s21_e8,/ssd_graph/s21_e8,s21_e8,928727,16777216,140021701,130859253,1333457,25004873
s21_e8,/ssd_graph/s21_e8,s21_e8,928727,16777216,148547439,128672343,1388459,3025903
s21_e8,/ssd_graph/s21_e8,s21_e8,928727,16777216,148499807,164314054,1337477,77006731
s21_e8,/ssd_graph/s21_e8,s21_e8,928727,16777216,153964337,129837276,1454298,82114511
s21_e8,/ssd_graph/s21_e8,s21_e8,928727,16777216,142201256,129945937,1458006,10196268
s21_e8,/ssd_graph/s21_e8,s21_e8,928727,16777216,152930240,169633260,1426258,13288286
s22_e8,/ssd_graph/s22_e8,s22_e8,1779031,33554432,278053671,409826115,2795462,14580971
s22_e8,/ssd_graph/s22_e8,s22_e8,1779031,33554432,302647802,397204577,2877780,26607010
s22_e8,/ssd_graph/s22_e8,s22_e8,1779031,33554432,278071785,383423803,2606167,154429323
s22_e8,/ssd_graph/s22_e8,s22_e8,1779031,33554432,289091833,394387662,2337367,149920317
s22_e8,/ssd_graph/s22_e8,s22_e8,1779031,33554432,281931294,396096924,2565197,37764466
s22_e8,/ssd_graph/s22_e8,s22_e8,1779031,33554432,308129786,353998050,2553789,21825843
s23_e8,/ssd_graph/s23_e8,s23_e8,3413614,67108864,568573929,1061669848,5405699,50180576
s23_e8,/ssd_graph/s23_e8,s23_e8,3413614,67108864,605002037,1018659132,5350057,54426142
,,,0,0,223,0,127,0
s23_e8,/ssd_graph/s23_e8,s23_e8,3413614,67108864,594708729,958721948,5285441,356816904
s23_e8,/ssd_graph/s23_e8,s23_e8,3413614,67108864,611283087,945217878,5361159,335417254
s23_e8,/ssd_graph/s23_e8,s23_e8,3413614,67108864,567649083,982627646,4947703,80173637
s23_e8,/ssd_graph/s23_e8,s23_e8,3413614,67108864,603281623,896080958,5382461,58263202
s24_e8,/ssd_graph/s24_e8,s24_e8,6542703,134217728,1115517253,1731278533,11071316,105773792
s24_e8,/ssd_graph/s24_e8,s24_e8,6542703,134217728,1204051149,1851779111,11447901,122724875
s24_e8,/ssd_graph/s24_e8,s24_e8,6542703,134217728,1126292379,1767191574,12258925,710124302
s24_e8,/ssd_graph/s24_e8,s24_e8,6542703,134217728,1133115471,1643236292,10807987,664204766
s24_e8,/ssd_graph/s24_e8,s24_e8,6542703,134217728,1163225212,1512532184,11065438,134189052
s24_e8,/ssd_graph/s24_e8,s24_e8,6542703,134217728,1199344965,1553541114,10889551,130091182
s25_e8,/ssd_graph/s25_e8,s25_e8,12548264,268435456,2281761168,3012350202,23266335,159659238
s25_e8,/ssd_graph/s25_e8,s25_e8,12548264,268435456,2255588335,3283384436,22733747,162325207
s25_e8,/ssd_graph/s25_e8,s25_e8,12548264,268435456,2229454329,2677197349,22656436,1442427089
s25_e8,/ssd_graph/s25_e8,s25_e8,12548264,268435456,2304821933,2903125686,21896257,1449514598
s25_e8,/ssd_graph/s25_e8,s25_e8,12548264,268435456,2309730862,2653162318,22586100,303298749
s25_e8,/ssd_graph/s25_e8,s25_e8,12548264,268435456,2347892899,2697758674,21338600,271539550